PC=00000024, SP=00000FF3, A=0000003B, B=00000000
PC=00000025, SP=00000FF0, A=0000003B, B=00000000
PC=00000026, SP=00000FF0, A=00000000, B=00000000
PC=00000027, SP=00000FF0, A=00000000, B=00000000
PC=00000028, SP=00000FF0, A=00000001, B=00000000
PC=00000029, SP=00000FF0, A=00000000, B=00000000
PC=0000002A, SP=00000FF0, A=00000008, B=00000000
PC=0000002B, SP=00000FF0, A=FFFFFFF8, B=00000000
PC=00000030, SP=00000FF0, A=FFFFFFF8, B=00000000
PC=00000031, SP=00000FF0, A=00000000, B=FFFFFFF8
PC=00000046, SP=00000FF0, A=00000000, B=FFFFFFF8
PC=00000047, SP=00000FF0, A=00000001, B=00000000
PC=00000048, SP=00000FF0, A=0000003B, B=00000001
PC=00000049, SP=00000FF3, A=0000003B, B=00000001
PC=0000003B, SP=00000FF3, A=00000001, B=00000001
PC=0000003C, SP=00000FF3, A=00000008, B=00000001
PC=0000003D, SP=00000FF3, A=00000001, B=00000001
PC=0000003E, SP=00000FF3, A=00000001, B=00000001
PC=0000003F, SP=00000FF3, A=00000001, B=00000001
PC=00000024, SP=00000FF3, A=00000040, B=00000001
PC=00000025, SP=00000FF0, A=00000040, B=00000001
PC=00000026, SP=00000FF0, A=00000001, B=00000001
PC=00000027, SP=00000FF0, A=00000001, B=00000001
PC=00000028, SP=00000FF0, A=00000001, B=00000001
PC=00000029, SP=00000FF0, A=00000002, B=00000001
PC=0000002A, SP=00000FF0, A=00000008, B=00000002
PC=0000002B, SP=00000FF0, A=FFFFFFFA, B=00000002
PC=00000030, SP=00000FF0, A=FFFFFFFA, B=00000002
PC=00000031, SP=00000FF0, A=00000001, B=FFFFFFFA
PC=00000032, SP=00000FF0, A=00000001, B=FFFFFFFA
PC=00000033, SP=00000FF0, A=00000008, B=00000001
PC=00000034, SP=00000FF0, A=00000007, B=00000001
PC=00000035, SP=00000FF0, A=00000001, B=00000001
PC=00000036, SP=00000FEF, A=00000001, B=00000001
PC=00000037, SP=00000FEF, A=00000007, B=00000001
PC=00000038, SP=00000FEF, A=00000001, B=00000001
PC=00000039, SP=00000FEF, A=00000001, B=00000001
PC=0000003A, SP=00000FEF, A=00000000, B=00000001
PC=00000024, SP=00000FEF, A=0000003B, B=00000000
PC=00000025, SP=00000FEC, A=0000003B, B=00000000
PC=00000026, SP=00000FEC, A=00000000, B=00000000
PC=00000027, SP=00000FEC, A=00000000, B=00000000
PC=00000028, SP=00000FEC, A=00000001, B=00000000
PC=00000029, SP=00000FEC, A=00000000, B=00000000
PC=0000002A, SP=00000FEC, A=00000007, B=00000000
PC=0000002B, SP=00000FEC, A=FFFFFFF9, B=00000000
PC=00000030, SP=00000FEC, A=FFFFFFF9, B=00000000
PC=00000031, SP=00000FEC, A=00000000, B=FFFFFFF9
PC=00000046, SP=00000FEC, A=00000000, B=FFFFFFF9
